title,introdate,avg_out_of_state_score,avg_out_of_state_quintile,party,bill,house_senate,max_score,max_score_quintile,count,uquintile,sponsor,memberID
empowerment scholarships; pupil funding amount,2016-01-07T13:22:28,14.52,1,R,HB2064,House,56,1,1696,3,Doug Coleman,55
appropriation; veterans services; veterans home.,2016-01-14T15:01:45,7.77,5,R,HB2329,House,23,5,327,5,Brenda Barton,84
ADE; youth fitness; pilot program,2016-02-01T16:32:00,8.22,4,R,SB1508,Senate,51,2,9743,2,Carlyle Begay,7
seat belts; school buses,2016-01-14T15:02:58,6.23,5,D,SB1133,Senate,16,5,13,5,Barbara McGuire,8
committee of reference; vacancy; replacement,2016-01-15T13:55:27,9.74,2,R,HB2242,House,44,2,9535,2,Bob Thorpe,70
domestic violence service providers,2016-01-14T18:01:30,7.11,5,R,HB2462,House,35,5,3949,2,Kate Brophy McGee,79
acupuncture board; licensure; qualifications,2016-01-13T10:04:47,9.69,2,R,SB1105,Senate,40,3,2823,3,Nancy Barto,15
service animals; certification; registration; identification,2016-01-19T14:18:25,9.49,3,D,SB1166,Senate,56,1,6771,2,Barbara McGuire,8
Armenian genocide; historical truth; recognition,2016-01-13T16:07:05,9.21,3,R,HR2001,House,28,5,703,4,Paul Boyer,60
water and wastewater systems; consolidation,2016-02-08T17:28:10,12.48,1,R,HB2675,House,52,2,81,5,Tony Rivero,61
homeowners associations; fees; hearings; elections,2016-02-01T16:21:00,12.15,1,R,SB1498,Senate,64,1,24075,1,David C. Farnsworth,16
stalking; offense; definitions,2016-01-14T17:06:10,8.96,3,R,HB2419,House,40,3,2559,3,Eddie Farnsworth,52
technical correction; real estate department,2016-01-12T14:18:59,6.96,5,R,HB2134,House,19,5,52,5,Kate Brophy McGee,79
schools; cursive writing requirement,2016-01-19T17:01:31,7.15,5,R,SB1197,Senate,20,5,156,5,Gail Griffin,14
fallen veterans; remembrance; 21 seconds,2016-01-21T09:06:15,8.98,3,R,SCR1009,Senate,40,3,2381,3,Gail Griffin,14
CORP; reverse deferred retirement option,2016-01-19T14:18:50,10.55,2,R,SB1160,Senate,40,3,3663,3,Steve Smith,11
physician assistants; continuing medical education,2016-01-14T15:20:53,8.84,3,R,HB2359,House,40,3,918,4,Heather Carter,81
publicity pamphlets; arguments; electronic submittal,2016-01-14T17:19:31,10.38,2,R,HB2428,House,47,2,3652,3,David W. Stevens,56
charitable donations; tax credit amounts,2016-01-20T14:17:43,17.16,1,R,SB1216,Senate,60,1,248,5,Steve Yarbrough,17
compact; balanced budget; convention,2016-01-14T18:11:45,13.06,1,R,HB2457,House,72,1,48950,1,Javan D. Mesnard,77
fire districts; merger; consolidation,2016-01-13T15:39:27,9.86,2,R,HB2197,House,40,3,7660,2,Doug Coleman,55
campaign finance; independent expenditures; disclosure,2016-01-19T15:53:40,9.87,2,D,SB1175,Senate,60,1,2182,3,Steve Farley,9
commission of Indian affairs; continuation,2016-01-20T16:58:05,7.25,5,R,SB1237,Senate,19.5,5,76,5,Carlyle Begay,7
mobile home parks; use change,2016-01-13T15:41:09,11.06,1,R,HB2200,House,66.5,1,21648,1,Jay Lawrence,71
prohibited weapon; definition; exclusions,2016-01-14T17:38:24,9.18,3,R,HB2446,House,24,5,120,5,David Livingston,41
liquor purchases; other state identification,2016-01-05T07:55:09,8.82,3,R,HB2031,House,40,3,13438,1,Sonny Borrelli,35
crime victims rights; facility dog,2016-01-14T16:10:21,10.22,2,R,HB2375,House,44,2,479,4,Eddie Farnsworth,52
environment; water quality amendments,2016-01-14T14:59:25,8.32,4,R,HB2325,House,48,2,23728,1,Franklin M. Pratt,73
newspapers; public notice publication,2016-01-06T10:32:29,8.21,4,R,HB2041,House,40,3,1048,4,Mark Finchem,80
vulnerable users of public ways,2016-01-12T13:31:26,8.38,4,D,SB1090,Senate,64,1,11782,1,Steve Farley,9
professional licensure; reciprocity; military spouses,2016-01-21T16:44:49,8.39,4,D,HB2520,House,40,3,384,4,Richard C. Andrade,76
patent troll prevention act,2016-01-14T16:27:15,14.08,1,R,HB2386,House,60,1,7089,2,Eddie Farnsworth,52
Israel; boycotts; contracts; investments,2016-02-04T09:39:13,12.15,1,R,HB2617,House,52,2,279,5,David M. Gowan Sr.,50
everify program; employers; immunity,2016-02-01T15:15:00,22.97,1,D,SB1477,Senate,63.5,1,29152,1,Andrew C. Sherwood,91
school property; sales; leases; use,2016-01-14T17:40:30,8.00,4,R,HB2476,House,40,3,218,5,Jill Norgaard,57
transportation board; tribal infrastructure; recommendations,2016-02-02T14:13:57,6.57,5,D,HB2589,House,19,5,318,5,Albert Hale,51
medical assistance requests; evidence; mitigation.,2016-01-28T14:33:32,12.35,1,D,SB1403,Senate,56,1,1348,3,Katie Hobbs,24
clean elections; lobbying; rulemaking,2016-01-20T09:32:15,10.66,2,R,HCR2035,House,30.5,5,164,5,Warren H. Petersen,69
precinct committeemen; write-ins; election,2016-01-14T13:40:44,9.48,3,R,HB2289,House,27.5,5,269,5,Russell Bowers,90
medical marijuana,2016-01-13T16:14:14,13.50,1,R,HCR2019,House,66,1,21256,1,Jay Lawrence,71
securities; exempt transactions,2015-11-23T13:24:17,11.34,1,R,SB1003,Senate,45,2,962,4,David C. Farnsworth,16
technical correction; emergency interception,2016-01-12T17:17:21,10.49,2,R,HB2155,House,28,5,189,5,Sonny Borrelli,35
victim compensation fund; allocations,2016-01-20T11:34:16,8.36,4,R,SB1211,Senate,19,5,44,5,John Kavanagh,23
school safety; threat assessments; fund,2016-02-08T16:23:03,9.04,3,D,HB2671,House,40,3,101,5,Jonathan R. Larkin,83
post-9/11 veteran education relief fund,2016-01-05T07:56:15,7.93,5,R,HB2033,House,40,3,210,5,Sonny Borrelli,35
criminal justice commission; membership; report,2016-02-04T18:30:11,8.20,4,D,HB2627,House,40,3,76,5,Eric Meyer,42
religious minorities; genocide; urging Congress,2016-02-01T14:29:00,9.69,2,R,SM1001,Senate,32.5,5,304,5,Nancy Barto,15
clean elections; superior court judges,2016-01-28T14:43:11,9.21,3,R,SCR1015,Senate,51.5,2,7604,2,Jeff Dial,18
laboratories; pharmacogenetic testing,2016-01-27T14:26:17,9.45,3,R,SB1366,Senate,40,3,1149,4,Nancy Barto,15
regulatory boards; licensing; revisions,2016-02-03T16:57:18,7.19,5,R,HB2613,House,40,3,19149,1,Warren H. Petersen,69
electronic communication privacy rights,2016-01-27T11:50:36,9.97,2,R,SB1352,Senate,61,1,47059,1,Jeff Dial,18
regional transportation authority; membership; election,2016-01-14T16:09:14,8.31,4,R,HB2373,House,40,3,23128,1,"Thomas R. Shope, Jr.",36
national popular vote; interstate agreement,2016-01-14T18:11:08,29.36,1,R,HB2456,House,64,1,11238,1,Javan D. Mesnard,77
schools; bullying policy; definition,2016-01-28T14:58:22,8.43,4,D,SB1408,Senate,56,1,44305,1,Katie Hobbs,24
Arizona online instruction; transfer credits.,2016-01-25T13:47:59,9.28,3,R,SB1287,Senate,40,3,2258,3,Sylvia Allen,6
anatomical gifts; procurement organizations; licensure,2016-01-14T14:35:54,12.85,1,R,HB2307,House,72,1,43355,1,Regina Cobb,38
ratification; equal rights amendment.,2015-12-29T11:35:57,12.66,1,D,SCR1001,Senate,64,1,3547,3,Martin Quezada,29
qualified disability expenses; eligible individuals,2016-01-14T16:28:27,7.43,5,R,HB2388,House,48,2,16917,1,John M. Allen,54
technical correction; building codes,2016-02-01T17:03:35,9.41,3,R,SB1522,Senate,40,3,2192,3,Steve Smith,11
schools; bonds; overrides; funding sources,2016-01-27T09:38:54,10.04,2,R,HB2551,House,40,3,45950,1,Jay Lawrence,71
speed limits; local authority,2016-01-05T07:55:42,12.69,1,R,HB2032,House,56,1,832,4,Sonny Borrelli,35
county dust control; residential property,2016-01-27T08:51:14,5.84,5,R,SB1347,Senate,16,5,58,5,David C. Farnsworth,16
technical correction; regents; land funds,2016-01-13T10:13:41,9.77,2,R,HB2163,House,20,5,92,5,Bob Thorpe,70
Taiwan; United States; trade; support,2016-02-01T16:09:01,8.65,4,R,HR2002,House,48,2,1560,3,Rick Gray,40
state board; superintendent; powers; duties,2016-01-28T15:11:53,7.56,5,R,SB1416,Senate,40,3,147125,1,Jeff Dial,18
workers compensation; modifications,2016-01-14T10:07:53,9.72,2,R,HB2240,House,58.5,1,13765,1,Karen Fann,43
insurance; risk retention groups,2016-01-27T14:56:53,11.19,1,R,HB2553,House,60,1,7115,2,Karen Fann,43
convention; amendment; balanced federal budget,2016-01-13T09:06:20,15.05,1,R,HCR2014,House,56,1,3607,3,Bob Thorpe,70
schools; computer coding instruction,2016-01-07T11:10:34,9.48,3,R,SB1055,Senate,40,3,2109,3,John Kavanagh,23
"municipal, precinct office; online signatures",2016-01-06T10:58:05,7.29,5,R,HB2049,House,20,5,29,5,David W. Stevens,56
texting while driving; transportation vehicles,2016-01-14T15:03:44,9.37,3,D,SB1135,Senate,40,3,203,5,Barbara McGuire,8
public school tax credit; expansion,2016-02-04T18:19:36,11.81,1,D,HB2631,House,91,1,303,5,Lela Alston,49
terminally ill; care choices,2016-01-14T15:04:08,19.57,1,D,SB1136,Senate,64,1,25807,1,Barbara McGuire,8
conforming changes; real estate appraisal,2016-01-28T16:10:01,9.90,2,R,HB2560,House,75.5,1,99726,1,Kate Brophy McGee,79
Arizona silver-haired legislature,2016-01-13T13:42:28,7.44,5,D,HB2178,House,30.5,5,147,5,Rosanna Gabald�n,59
community property; life sentence; spouse,2016-01-25T17:26:09,7.19,5,R,SB1307,Senate,35,5,1095,4,Gail Griffin,14
developmental disabilities; terminology; settings,2016-01-11T12:09:14,6.37,5,R,HB2099,House,35,5,7549,2,John M. Allen,54
juvenile charged as adult; detention,2016-01-25T17:26:36,9.05,3,R,SB1308,Senate,40,3,3191,3,Gail Griffin,14
school tax credit; classroom supplies,2016-01-22T14:34:10,11.96,1,R,SB1269,Senate,91,1,296,5,Gail Griffin,14
technical correction; returning retired members,2016-01-21T11:31:48,9.92,2,R,SB1253,Senate,40,3,720,4,Debbie Lesko,21
